LEDGER_COUNTRY_NAME;国名;Country;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_MILSCORE;军事点;Military Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_INDSCORE;工业点;Industrial Score;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_PRESTIGE;威信;Prestige;;;;;;;;;;;x;;;;
LEDGER_COUNTRY_TOTALSCORE;总合点;Total Score;;;;;;;;;;;x;;;;
TAXES_POOR;下层阶级からの税鳅: $VAL$;Taxes Poor Strata: $VAL$;;;;;;;;;;;;x;;;;
TAXES_MIDDLE;中产阶级からの税鳅: $VAL$;Taxes Middle Strata: $VAL$;;;;;;;;;;;;x;;;;
TAXES_RICH;富裕阶级からの税鳅: $VAL$;Taxes Rich Strata: $VAL$;;;;;;;;;;;;x;;;;
TARIFFS_INCOME;关税鳅入: $VAL$;Tariffs: $VAL$;;;;;;;;;;;;x;;;;
REMOVE_BUDGET_EXPORTS;输出: $VAL$;Exports: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_GOLD;贵金属鳅入: $VAL$;Gold: $VAL$;;;;;;;;;;;;x;;;;
BUDGET_ADMIN_EFFICIENCY;行政鳇率: $PERC$%;Administrative efficiency: $PERC$%;;;;;;;;;;;;x;;;;
BUDGET_ADMIN_EFFICIENCY_DESC;人口のうち、$PERC$%が官僚です。\n行政鳇率を最大にするためには、少なくとも、人口の$MAX$%が官僚である必要があります。\n;$PERC$% of our population are bureaucrats.\nFor maximum administrative efficiency, we need at least $MAX$% bureaucrats.\n;;;;;;;;;;;;x;;;;
ADM_EXPLAIN_DESC;必要な割合は以下に基づいています \n;This needed percentage is based on the following.\n;;;;;;;;;;;;x;;;;
SHADOWY_INVESTOR;个人投资家;Private Investors;;;;;;;;;;;;x;;;;
GUNBOAT_ALERT;$COUNTRY$は、我が国に对して、舰队で威压しながら、一日あたり$VALUE$ ¤の借款の偿还を强制しています;$COUNTRY$ has used their naval might to force us to pay back our loans with $VALUE$ per day.;;;;;;;;;;;;x;;;;
BUDGET_COUNTRY;国家;Country;;;;;;;;;;;;x;;;;
BUDGET_AMOUNT;总额;Amount;;;;;;;;;;;;x;;;;
BUDGET_LOANS_TAKEN;借入金;Loans Taken;;;;;;;;;;;;x;;;;
BUDGET_LOANS_GIVEN;贷出金;Loans Given;;;;;;;;;;;;x;;;;
DIPLOMATIC_BALANCE_DESC;外交バランス;Diplomatic Balance;;;;;;;;;;;;x;;;;
BUDGET_LOAN_CANT_REPAY;借款の偿还に充てる资金がありません;We have no money to pay back loans with;;;;;;;;;;;;x;;;;
BUDGET_CANT_LOAN;资金不足により、借款を申し出ることは不可能です;No money available to you for loaning;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;x;;;;
WORLD_YEAR;西坜$YEAR$年の世界;The world $YEAR$ AD;;;;;;;;;;;;x;;;;
FE_PLAYABLE_COUNTRIES;选择可能国家;Playable Countries;;;;;;;;;;;;x;;;;
FE_COUNTRY;国家;Country;;;;;;;;;;;;x;;;;
FE_WARS;交战国：;Wars:;;;;;;;;;;;;x;;;;
FE_POP;人口;Pop.;;;;;;;;;;;;x;;;;
FE_IDEOLOGY;イデオロギ艹;Ideology;;;;;;;;;;;;x;;;;
FE_INDUSTRY;工业:;Industry:;;;;;;;;;;;;x;;;;
FE_PRESTIGE;威信:;Prestige:;;;;;;;;;;;;x;;;;
FE_RANK;顺位;Rank;;;;;;;;;;;;x;;;;
FE_SCORE;总合;Score;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
# Savegame transfers;;;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
SAVE_PROG;セ艹ブ进行中: $VALUE$ %;Save progress: $VALUE$ %;;;;;;;;;;;;x;;;;
TRANSERING_SAVE;セ艹ブゲ艹ムを变换中...;Savegame transfer started...;;;;;;;;;;;x;;;;
LOADING_LOCAL_SAVE;ロ艹カル·セ艹ブゲ艹ムのコピ艹をロ艹ド中...;Loading local savegame copy...;;;;;;;;;;;x;;;;
PLR_DISC;プレイヤ艹:$NAME$ がゲ艹ムを撺けました。;Player $NAME$ left the game.;;;;;;;;;;;;x;;;;
PLR_CONNECT;プレイヤ艹:$NAME$がゲ艹ムに参加しました。;Player $NAME$ joined the game.;;;;;;;;;;;;x;;;;
REVERT_SAVE_CAL;デフォルトのデ艹タベ艹スに戾ります。;Reverting to default database.;;;;;;;;;;;x;;;;
SAVE_TRANSFER_DONE;セ艹ブゲ艹ムを变换しました。;Savegame transfer done.;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
# Loading texts;;;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
LOADING_MAP_SPRITES;マップ スプライトをロード中...;Loading Map-Sprites...;;;;;;;;;;;x;;;;
LOADING_GUI_DEF;GUI定義をロード中...;Loading GUI Definitions...;;;;;;;;;;;x;;;;
LOADING_DATABASES;データベースをロード中...;Loading Databases...;;;;;;;;;;;x;;;;
LOADING_DATABASES2;データベースIIをロード中...;Loading Databases II...;;;;;;;;;;;;x;;;;
INIT_MAP_LOGIC;マップロジックを初期化中...;Initialising Maplogic...;;;;;;;;;;x;;;;
CREATING_CHKSUM;チェックサムを作成中...;Creating Checksum...;;;;;;;;;;;x;;;;
LOADING_HISTORY;歴史ファイルをロード中...;Loading History Files...;;;;;;;;;;;x;;;;
LOADING_SOUNDS;サウンドをロード中...;Loading Sounds...;;;;;;;;;;;x;;;;
PROC_FLAGS;フラグを処理中...;Processing Flags...;;;;;;;;;;;x;;;;
LOAD_FLAGS;フラグをロード中...;Loading Flags...;;;;;;;;;;;x;;;;
LOAD_GFX;グラフィックをロード中...;Loading Graphics...;;;;;;;;;;;x;;;;
CREATING_THE_WORLD;ワールドを作成中...;Creating the World...;;;;;;;;;;;x;;;;
CREATING_TREES;木々を作成中...;Creating Trees...;;;;;;;;;;;x;;;;
CREATING_BORDERS;Bordersを作成中...;Creating Borders...;;;;;;;;;;;x;;;;
CREATING_RIVERS;河川を作成中...;Creating Rivers...;;;;;;;;;;;x;;;;
MAP_PROPERLY_INIT;マップ プロパティを初期化しました...;Map Properly Initialised...;;;;;;;;;;;x;;;;
CREATING_PROVINCE;プロヴィンスを作成中 #;Creating Province #;;;;;;;;;;;x;;;;
CREATING_TEXTS;テキストを作成中....;Creating Texts....;;;;;;;;;;;x;;;;
LOAD_EVENTS;イベントをロード中...;Loading Events...;;;;;;;;;;;x;;;;
ADAPTING_HISTORY;歴史を適合中...;Adapting History...;;;;;;;;;;;x;;;;
CALC_PATHS;パスを計算中...\nこれは数分かかる場合があります。;Calculating paths...\nThis may take several minutes.;;;;;;;;;;;x;;;;
FE_TOGGLE;クイック スタ艹ト;Quick Start;;;;;;;;;;;;x;;;;
FE_TOGGLE_NORMAL;カスタム スタ艹ト;Custom Start;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
# Settings ;;;;;;;;;;;;;;x;;;;
FE_SETTING_DIPLOMACY;外交;Diplomacy;;;;;;;;;;;;x;;;;
FE_SETTING_PRODUCTION;生产;Production;;;;;;;;;;;;x;;;;
FE_SETTING_POLITICS;政治;Politics;;;;;;;;;;;;x;;;;
FE_SETTING_INTEL;情报;Intelligence;;;;;;;;;;;;x;;;;
FE_SETTING_TECHNOLOGY;技术;Technology;;;;;;;;;;;;x;;;;
FE_SETTING_UNITINTERFACE;军队;Armies;;;;;;;;;;;;x;;;;
DIFF_VERY_EASY;非常に简单;Very Easy;;;;;;;;;;;;x;;;;
DIFF_EASY;简单;Easy;;;;;;;;;;;;x;;;;
DIFF_NORMAL;普通;Normal;;;;;;;;;;;;x;;;;
DIFF_HARD;难しい;Hard;;;;;;;;;;;;x;;;;
DIFF_VERY_HARD;非常に难しい;Very Hard;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
######################################################################;;;;;;;;;;;;;;x;;;;
# Misc ;;;;;;;;;;;;;;x;;;;
CORE_PAUSED;一时停止;PAUSE;;;;;;;;;;;;x;;;;
SM_SETTINGS;设定;Settings;;;;;;;;;;;x;;;;
SM_GAME;ゲ艹ム;Game;;;;;;;;;;;;x;;;;
SM_VIDEO;映像;Video;;;;;;;;;;;x;;;;
SM_AUDIO;音声;Audio;;;;;;;;;;;;x;;;;
SM_CONTROLS;操作;Controls;;;;;;;;;;;x;;;;
SM_MASTER_VOLUME;マスタ艹ボリュ艹ム;Master Volume;;;;;;;;;;;x;;;;
SM_EFFECT_VOLUME;鳇果音ボリュ艹ム;Effect Volume;;;;;;;;;;;x;;;;
SM_MUSIC_VOLUME;音乐ボリュ艹ム;Music Volume;;;;;;;;;;;;x;;;;
SM_SCROLL_SPEED;スクロ艹ル速度;Scroll Speed;;;;;;;;;;;x;;;;
SM_ZOOM_SPEED;ズ艹ム速度;Zoom Speed;;;;;;;;;;;x;;;;
SM_MOUSE_SPEED;マウス速度;Mouse Speed;;;;;;;;;;;;x;;;;
SM_RESOLUTION;解像度;Resolution;;;;;;;;;;;x;;;;
SM_REFRESH_RATE;画面リフレッシュレ艹ト;Refresh Rate;;;;;;;;;;;;x;;;;
SM_GAMMA;ガンマ;Gamma;;;;;;;;;;;;x;;;;
SM_SHADOWS;シャドウ;Shadows;;;;;;;;;;;x;;;;
SM_TREES;木苘;Trees;;;;;;;;;;;;x;;;;
SM_DIFFICULTY;难易度;Difficulty;;;;;;;;;;x;;;;
SM_AUTOSAVE_INTERVAL;オ艹トセ艹ブ间隔;Autosave Interval;;;;;;;;;;;x;;;;
SM_APPLY;适用;Apply;;;;;;;;;;;;x;;;;
SM_BACK;戾る;Back;;;;;;;;;;;;x;;;;
SM_ALERT;警告;Alert;;;;;;;;;;;x;;;;
SM_RESTART;变更を适用するには再起动が必要です。;You need to restart for the change to take effect.;;;;;;;;;;;;x;;;;
SM_WP;设定ファイルへの书き钇みでエラ艹が生じました。ファイルが书钇禁止になっていないか确认し、やり直してください。;Error writing to the settings-file. Check that the file is not write protected and try again;;;;;;;;;;;;x;;;;
FE_HOST;ホスト;Host;;;;;;;;;;;;x;;;;
FE_JOIN_LAN_GAME;LANゲ-ムに参加;Join Lan Game;;;;;;;;;;;;x;;;;
FE_JOIN_INTERNET_GAME;インタ-ネットゲ-ムに参加;Join Internet Game;;;;;;;;;;;;x;;;;
FE_SCAN;スキャン;scan;;;;;;;;;;;;x;;;;
FE_METASERVER;Metaserver;Metaserver;;;;;;;;;;;;x;;;;
FE_BACK;戾る;Back;;;;;;;;;;;x;;;;
FE_PLAYER;プレイヤ艹;Player;;;;;;;;;;;;x;;;;
FE_PLAYER_NAME;プレイヤ艹名:;Player name:;;;;;;;;;;;;x;;;;
FE_SINGLE_PLAYER;シングルプレイ;Single Player;;;;;;;;;;;x;;;;
FE_MULTI_PLAYER;マルチプレイ;Multi Player;;;;;;;;;;;x;;;;
FE_OPTIONS;设定;Options;;;;;;;;;;;x;;;;
FE_CREDITS;クレジット;Credits;;;;;;;;;;;x;;;;
FE_EXIT;终了;Exit;;;;;;;;;;;x;;;;
FE_NATION_TO_PLAY;プレイしたい国をクリックして下さい...;Click the nation you wish to play...;;;;;;;;;;;;x;;;;
FE_NEW_GAME;ニュ艹ゲ艹ム;New Game;;;;;;;;;;;;x;;;;
FE_SAVE_GAME;セ艹ブゲ艹ム;Save Games;;;;;;;;;;;;x;;;;
FE_HISTORICAL_START;历史的日付で开始;Historical Start;;;;;;;;;;;;x;;;;
FE_SAVED_GAMES;セ艹ブゲ-ム;Saved Games;;;;;;;;;;;;x;;;;
FE_SELECT_NATION;マップをクリックして国家を选择してください...;Click on the map to select a nation...;;;;;;;;;;x;;;;
FE_NO_COUNTRY_SELECTED;国家が选择されていません;No country selected;;;;;;;;;;x;;;;
FE_MILITARY;军事;Military;;;;;;;;;;;;x;;;;
FE_ECONOMY;经济;Economy;;;;;;;;;;;;x;;;;
FE_DIPLOMACY;外交;Diplomacy;;;;;;;;;;;;x;;;;
FE_DIFFICULTY;难易度:;Difficulty:;;;;;;;;;;;;x;;;;
FE_AT_WAR;交战国：;At war:;;;;;;;;;;;;x;;;;
FE_ALLIES;同盟国：;Allies:;;;;;;;;;;;;x;;;;
FE_LOAD;ロ艹ド;LOAD;;;;;;;;;;;;x;;;;
FE_BOOKEDMARKED;ブックマ-ク:;Bookmarked dates:;;;;;;;;;;;;x;;;;
FE_STARTING_DATE;开始日：;Starting Date;;;;;;;;;;;;x;;;;
FE_BOOKMARK_TITLE;ブックマ-ク名;Bookmark Title;;;;;;;;;;;;x;;;;
FE_BOOKMARK_DATE;ブックマ-ク日;Bookmark date;;;;;;;;;;;;x;;;;
FE_LOCAL_GAMES;ロ-カルゲ-ム;local games;;;;;;;;;;;;x;;;;
FE_MY_GAME;マイゲ-ム;My Game;;;;;;;;;;;;x;;;;
FE_CANCEL;キャンセル;Cancel;;;;;;;;;;;;x;;;;
PLAYER_LOST_TITLE;プレイヤ-の接续が切断されました。;Player disconnected.;;;;;;;;;;;;x;;;;
PLAYER_LOST_DESC;プレイヤ-:$playername$の接续が切断されました。どうしますか？;Player(s) $playername$ disconnected. Choose your action.;;;;;;;;;;;;x;;;;
SERVER_LOST_TITLE;サ-バとの接续がロストしました！;Server Lost!;;;;;;;;;;;;x;;;;
REMOVE_SERVER_LOST_DESC;サ-バとの接续がロストしました。このゲ艹ムを终了します。;The server was lost. The game will end.;;;;;;;;;;;;x;;;;
OK;Ok;Ok;;;;;;;;;;;;x;;;;
CANCEL;キャンセル;Cancel;;;;;;;;;;;;x;;;;
SAVE;セ-ブ;Save;;;;;;;;;;;;x;;;;
QUIT;终了;Quit;;;;;;;;;;;x;;;;
START;スタ-ト;Start;;;;;;;;;;;;x;;;;
CONTINUE;コンティニュ-;Continue;;;;;;;;;;;;x;;;;
CONNECTED;接续されました。;Connected.;;;;;;;;;;;;x;;;;
NAME_TAKEN;贵方の名前はすでに使用されています。他の名前を选んでください。;Your name is taken. Please leave and select another.;;;;;;;;;;;;x;;;;
CONNECTING;接续中...;Connecting...;;;;;;;;;;x;;;;
BANNED;贵方はこのゲ-ムからBANされました;You have been banned from this game;;;;;;;;;;;;x;;;;
CONNECTION_FAILED;接续失败！;Connection failed!;;;;;;;;;;;;x;;;;
GAME_NOT_FOUND;ゲ-ムが见つかりません。;Game not found.;;;;;;;;;;;x;;;;
WAITING_FOR_PLAYERS;プレイヤ-达を待っています...;Waiting for players...;;;;;;;;;;;x;;;;
ALL_PLAYERS_HERE;全てのプレイヤ-がそろいました。;All players here.;;;;;;;;;;;;x;;;;
LOOKING_FOR_HOST;ホストを搜しています...;Looking for host...;;;;;;;;;;;x;;;;
LOST_PLAYER;プレイヤ-との接续がロストしました...;A player was lost...;;;;;;;;;;;x;;;;
SERVER_LOST;サ-バとの接续がロストしました。;The server was lost.;;;;;;;;;;;;x;;;;
JOIN_IP_TITLE;IPアドレスを入力してください...;Enter IP address...;;;;;;;;;;;x;;;;
HOST_TITLE;贵方のゲ艹ム名を入力してください...;Enter the name of your game...;;;;;;;;;;;x;;;;
HOST_BUTTON;ゲ-ムを主催する;Host;;;;;;;;;;;x;;;;
JOIN_BUTTON;ゲ-ムに参加する;Join;;;;;;;;;;;;x;;;;
LOG_SETTING_LOG;ログに表示します。;Display in log.;;;;;;;;;;;;x;;;;
LOG_SETTING_POPUP;ポップアップウィンドウを开きます。;Open popup window.;;;;;;;;;;;;x;;;;
LOG_SETTING_MAP;マップ上に表示します。;Show on map.;;;;;;;;;;;;x;;;;
LOG_SETTING_IDLE;アイドルメッセ-ジを表示します。;Display as Idle message.;;;;;;;;;;;;x;;;;
QUIT_TITLE;ゲ艹ムを终了する;Quit Game;;;;;;;;;;;;x;;;;
QUIT_DESC;本当にゲ艹ムを终了してデスクトップに戾りますか？;Are you sure you want to quit and return to desktop?;;;;;;;;;;;;x;;;;
ZOOM_IN;扩大;Zoom in;;;;;;;;;;;;x;;;;
ZOOM_OUT;缩小;Zoom out;;;;;;;;;;;;x;;;;
RESIGN_TITLE;ゲ-ムを中断する;Resign Game;;;;;;;;;;;x;;;;
RESIGN_DESC;本当に、ゲ艹ムを中断してメインメニュ艹に戾りますか？;Are you sure you want to resign and return to the main menu?;;;;;;;;;;;;x;;;;
SCAN;スキャン;Scan;;;;;;;;;;;x;;;;
STOP_SCAN;スキャン中止;Stop Scan;;;;;;;;;;;x;;;;
TIP_KICK;プレイヤ-をキック;Kick player;;;;;;;;;;;;x;;;;
TIP_BAN;プレイヤ-をBANし、このセッションから追放する;Ban player for the duration of this session;;;;;;;;;;;;x;;;;
PLAYER_KICKED;$NAME$はホストからキックされました。;$NAME$ was kicked by the host.;;;;;;;;;;;;x;;;;
PLAYER_BANNED;$NAME$はホストからBANされました。;$NAME$ was banned by the host.;;;;;;;;;;;;x;;;;
YOUKICKED;贵方は、贵方の恶行のためにホストからキックされました！;You were kicked by the host for your evil deeds!;;;;;;;;;;;;x;;;;
BAD_VERSION;ホストが他のバ-ジョンを使用しています！;The host has another version of the game!;;;;;;;;;;;;x;;;;
JOINED_CHANNEL;チャンネル$CHAN$に参加する。;Joined channel $CHAN$.;;;;;;;;;;;;x;;;;
USER_JOINED_CHANNEL;$NAME$がチャンネルに参加。;$NAME$ joined the channel.;;;;;;;;;;;;x;;;;
USER_LEFT_CHANNEL;$NAME$がチャンネルから退出。;$NAME$ left the channel.;;;;;;;;;;;;x;;;;
METASERVER_GAME_INFO;作成者: $CREATOR$ \n日付: $DATE$;Creator: $CREATOR$ \n Date: $DATE$;;;;;;;;;;;;x;;;;
MENU_BAR_SAVE_GAME;セ艹ブ;Save Game;;;;;;;;;;;x;;;;
MENU_BAR_GAME_OPTIONS;ゲ艹ムオプション;Game Options;;;;;;;;;;;x;;;;
MENU_BAR_GAME_RESIGN;中断;Resign;;;;;;;;;;;;x;;;;
MENU_BAR_MESSAGE_SETTINGS;メッセ艹ジ设定;Message Settings;;;;;;;;;;;;x;;;;
MENU_BAR_QUIT;终了;Quit;;;;;;;;;;;;x;;;;
MENU_BAR_CLOSE;闭じる;Close;;;;;;;;;;;;x;;;;
MENU_BAR_SAVE;セ艹ブ;Save;;;;;;;;;;;;x;;;;
MENU_BAR_SAVE_GAME_FILENAME;セ-ブゲ-ムのファイル：;Saved game filename:;;;;;;;;;;;;x;;;;
CHAT_ALLIES;Allies;味方;Allies;;;;;;;;;;;;x;;;;
CHAT_FOES;敌;Foes;;;;;;;;;;;x;;;;
CHAT_ALL;全て;All;;;;;;;;;;;;x;;;;
CHATMESSAGE_SETUP;贵方がチャットメッセ-ジを受信したとき;When you receive a chat message;;;;;;;;;;;;x;;;;
CHATMESSAGE_HEADER;チャットメッセ-ジ;Chat message;;;;;;;;;;;;x;;;;
CHATMESSAGE_1;コミュニケ-ションが入りました。;Incoming communication,;;;;;;;;;;;;x;;;;
CHATMESSAGE_2;$TEXT$;$TEXT$;;;;;;;;;;;;x;;;;
